trip_id,trip_no,station_id_depart,station_id_arrive,depart_datetime,arrive_datetime,cost_paid,class_id,train_id
139,9776881130,139,1671,2021-01-26 10:28,2021-01-27 07:28,25.00,3,13
140,2696542507,140,1672,2020-01-28 03:03,2020-01-28 07:03,22.00,3,11
141,1380218485,141,1673,2021-04-01 02:18,2021-04-01 16:18,78.00,1,11
142,2936356522,142,1674,2020-02-14 05:38,2020-02-14 11:38,63.00,1,8
143,8203231670,143,1675,2020-11-09 20:16,2020-11-10 20:16,87.00,3,8
144,8651336176,144,1676,2020-04-23 11:04,2020-04-24 06:04,11.00,1,13
145,2196009922,145,1677,2022-02-14 20:37,2022-02-15 01:37,92.00,3,11
146,8132669509,146,1678,2020-08-06 04:11,2020-08-06 20:11,12.00,2,11
147,6373562967,147,1679,2022-03-02 06:38,2022-03-02 12:38,23.00,2,6
148,6022236731,148,1680,2020-07-01 02:36,2020-07-01 18:36,29.00,2,6
149,7918580400,149,1681,2020-10-23 16:32,2020-10-23 18:32,67.00,2,19
150,2537480634,150,1682,2020-03-27 17:41,2020-03-28 16:41,31.00,3,21
151,9431901724,151,1683,2021-12-30 18:01,2021-12-31 09:01,53.00,3,4
152,6675292031,152,1684,2021-03-11 21:03,2021-03-12 17:03,53.00,3,21
153,2464130612,153,1685,2021-08-02 17:12,2021-08-02 20:12,57.00,3,21
154,2374155412,154,1686,2020-10-02 11:11,2020-10-03 07:11,50.00,2,20
155,7094238778,155,1687,2020-09-11 15:16,2020-09-12 07:16,68.00,2,8
156,8908921608,156,1688,2020-04-13 06:05,2020-04-14 05:05,33.00,1,16
157,9771941100,157,1689,2020-06-10 06:57,2020-06-10 16:57,57.00,3,11
158,5554186869,158,1690,2021-09-02 00:30,2021-09-02 10:30,36.00,1,2
159,8729069082,159,1691,2020-09-14 21:15,2020-09-15 17:15,93.00,2,2
160,4313422482,160,1692,2020-04-15 14:42,2020-04-16 12:42,14.00,2,8
161,2193128517,161,1693,2022-02-11 07:48,2022-02-11 14:48,37.00,2,2
162,4526009239,162,1694,2021-12-30 00:09,2021-12-30 06:09,10.00,3,2
163,1457457658,163,1695,2021-06-01 18:15,2021-06-02 06:15,62.00,1,19
164,8382970162,164,1696,2022-02-10 13:33,2022-02-10 14:33,88.00,3,2
165,7074923790,165,1697,2020-09-27 03:52,2020-09-27 13:52,48.00,3,2
166,4004478010,166,1698,2022-02-11 03:46,2022-02-11 12:46,20.00,1,6
167,1203919994,167,1699,2020-06-29 06:40,2020-06-29 08:40,96.00,3,13
168,7181493294,168,1700,2020-03-15 12:20,2020-03-16 11:20,81.00,2,21
169,7477003897,169,1701,2021-02-23 09:20,2021-02-23 22:20,2.00,3,21
170,8433811062,170,1702,2021-09-22 07:39,2021-09-23 05:39,69.00,1,6
171,7222646092,171,1703,2020-10-23 07:19,2020-10-24 02:19,1.00,2,6
172,7748943225,172,1704,2021-04-10 06:11,2021-04-11 02:11,62.00,3,15
173,9447388363,173,1705,2021-04-15 19:56,2021-04-16 05:56,79.00,1,4
174,8785904509,174,1706,2020-06-19 15:48,2020-06-19 22:48,38.00,3,4
175,8929337826,175,1707,2021-07-29 04:27,2021-07-29 23:27,6.00,3,3
176,7651423442,176,1708,2020-09-03 08:23,2020-09-04 08:23,61.00,1,3
177,6221547352,177,1709,2020-09-26 20:51,2020-09-27 11:51,46.00,2,22
178,6503191524,178,1710,2020-08-11 12:34,2020-08-11 14:34,11.00,1,16
179,7078777565,179,1711,2021-07-30 06:38,2021-07-31 02:38,87.00,2,9
180,6033474954,180,1712,2020-03-01 14:13,2020-03-02 08:13,41.00,2,8
181,6963211147,181,1713,2020-02-07 10:55,2020-02-08 07:55,30.00,2,13
182,5586819604,182,1714,2021-04-16 09:24,2021-04-17 07:24,7.00,1,13
183,8489720075,183,1715,2020-04-26 05:42,2020-04-27 03:42,87.00,1,13
184,5339412361,184,1716,2020-07-13 16:08,2020-07-13 17:08,75.00,2,8
185,4549429055,185,1717,2021-06-22 14:33,2021-06-22 15:33,89.00,3,20
186,6606274764,186,1718,2022-03-03 10:57,2022-03-04 01:57,9.00,3,20
187,6556978483,187,1719,2020-04-18 10:00,2020-04-18 22:00,38.00,2,10
188,1374717554,188,1720,2020-04-26 14:00,2020-04-27 11:00,98.00,2,10
189,1179991751,189,1721,2020-05-29 02:02,2020-05-30 00:02,96.00,2,17
190,8822374149,190,1722,2020-10-03 16:14,2020-10-04 06:14,36.00,2,17
191,1598861488,191,1723,2021-03-05 23:50,2021-03-06 16:50,11.00,3,6
192,5773536134,192,1724,2020-09-21 02:13,2020-09-21 23:13,36.00,3,6
193,5300594979,193,1725,2022-01-30 03:53,2022-01-30 12:53,99.00,2,6
194,5023786871,194,1726,2020-05-20 21:36,2020-05-21 05:36,26.00,2,6
195,6542252068,195,1727,2021-12-18 20:02,2021-12-19 13:02,43.00,2,6
196,9599015570,196,1728,2021-08-06 00:23,2021-08-06 23:23,13.00,2,10
197,1239815630,197,1729,2020-06-02 06:02,2020-06-03 04:02,81.00,1,20
198,3150885424,198,1730,2021-09-21 20:29,2021-09-22 19:29,74.00,2,20
199,5614519469,199,1731,2022-05-03 16:30,2022-05-04 04:30,59.00,3,8
200,5482135534,200,1732,2020-08-31 04:44,2020-09-01 00:44,85.00,1,6
201,9962080511,201,1733,2021-10-07 07:11,2021-10-07 17:11,99.00,3,6
202,9884623569,202,1734,2021-11-22 03:17,2021-11-22 04:17,64.00,2,7
203,7790357058,203,1735,2022-03-02 07:56,2022-03-02 17:56,64.00,3,7
204,1019877950,204,1736,2022-02-26 12:16,2022-02-26 21:16,58.00,3,10
205,8856251996,205,1737,2020-10-03 13:54,2020-10-04 02:54,47.00,1,10
206,8694470476,206,1738,2021-08-07 09:29,2021-08-08 09:29,51.00,3,18
207,7767489463,207,1739,2021-02-10 05:47,2021-02-10 13:47,15.00,1,1
208,4528396019,208,1740,2020-06-20 02:12,2020-06-20 04:12,6.00,2,1
209,2560746053,209,1741,2021-10-02 08:48,2021-10-02 20:48,80.00,3,19
210,8746790780,210,1742,2021-04-06 19:24,2021-04-07 13:24,28.00,1,14
211,9298639013,211,1743,2021-07-18 13:26,2021-07-19 07:26,10.00,3,14
212,2631033569,212,1744,2020-11-22 21:48,2020-11-23 20:48,5.00,1,8
213,3266883463,213,1745,2020-09-01 13:35,2020-09-02 07:35,24.00,2,8
214,8741762802,214,1746,2020-02-12 10:59,2020-02-12 20:59,48.00,2,11
215,2015928231,215,1747,2020-09-12 02:47,2020-09-12 06:47,9.00,2,11
216,9590722711,216,1748,2021-03-29 16:43,2021-03-29 17:43,23.00,2,2
217,2289728425,217,1749,2020-11-13 18:44,2020-11-14 08:44,24.00,3,2
218,4825513057,218,1750,2020-05-17 00:41,2020-05-17 11:41,46.00,2,3
219,8344104935,219,1751,2021-10-17 23:53,2021-10-18 07:53,41.00,3,3
220,4844173989,220,1752,2021-06-15 22:51,2021-06-16 04:51,33.00,2,5
221,6731141721,221,1753,2020-11-06 05:09,2020-11-07 05:09,47.00,2,5
222,4845715013,222,1754,2022-03-04 12:12,2022-03-04 21:12,45.00,3,3
223,8973259721,223,1755,2021-07-14 07:54,2021-07-14 10:54,41.00,3,3
224,7131478091,224,1756,2020-11-18 19:17,2020-11-19 09:17,91.00,3,5
225,4907515532,225,1757,2020-07-20 18:16,2020-07-21 02:16,85.00,3,5
226,5468728736,226,1758,2020-11-14 19:53,2020-11-15 04:53,9.00,3,3
227,8461402980,227,1759,2020-11-28 05:16,2020-11-29 02:16,72.00,1,17
228,9333547360,228,1760,2020-09-16 07:09,2020-09-16 11:09,25.00,1,17
229,6956300503,229,1761,2021-04-06 19:29,2021-04-07 04:29,57.00,1,19
230,8150285276,230,1762,2020-07-01 15:59,2020-07-02 05:59,72.00,1,19
231,4053613493,231,1763,2022-03-29 05:21,2022-03-29 09:21,41.00,1,2
232,3057892595,232,1764,2021-01-15 14:11,2021-01-16 01:11,90.00,2,19
233,3612400140,233,1765,2020-03-19 18:23,2020-03-20 05:23,16.00,1,19
234,4702146030,234,1766,2020-10-06 07:14,2020-10-06 17:14,50.00,1,4
235,5283629226,235,1767,2020-12-06 16:43,2020-12-07 07:43,13.00,2,4
236,6644486716,236,1768,2020-10-31 15:44,2020-11-01 01:44,35.00,2,22
237,6339421196,237,1769,2021-02-02 00:03,2021-02-02 08:03,18.00,3,19
238,3514456926,238,1770,2021-03-24 04:40,2021-03-25 00:40,60.00,2,19
239,1865710247,239,1771,2021-04-27 15:23,2021-04-28 15:23,93.00,2,4
240,7734614131,240,1772,2021-06-23 13:04,2021-06-23 22:04,5.00,1,20
241,1318271863,241,1773,2021-08-23 23:25,2021-08-24 09:25,96.00,3,20
242,9305527278,242,1774,2020-07-31 05:05,2020-07-31 07:05,22.00,2,9
243,4391299765,243,1775,2020-02-13 13:34,2020-02-13 23:34,24.00,1,9
244,8479831538,50,1776,2021-11-05 13:22,2021-11-05 16:22,30.00,1,20
245,2384912997,244,1777,2021-08-03 20:46,2021-08-04 03:46,28.00,2,10
246,2044156814,245,1778,2020-04-05 03:13,2020-04-06 03:13,13.00,2,6
247,2674830251,246,1779,2021-05-17 05:30,2021-05-18 02:30,66.00,2,6
248,7226049626,247,1780,2020-02-09 13:52,2020-02-10 04:52,52.00,2,5
249,5857564462,248,1781,2021-10-07 23:36,2021-10-08 11:36,64.00,3,5
250,6425194756,249,1782,2022-04-20 21:56,2022-04-21 14:56,98.00,3,1
251,4191157729,250,1783,2021-08-11 20:05,2021-08-11 21:05,44.00,2,1
252,2781926091,251,1784,2020-10-29 01:02,2020-10-29 17:02,71.00,3,1
253,5812217981,252,1785,2021-12-25 07:06,2021-12-25 11:06,40.00,1,21
254,1343515066,253,1786,2021-09-11 21:32,2021-09-12 18:32,37.00,3,21
255,3179637541,254,1787,2021-11-27 09:13,2021-11-28 00:13,38.00,2,14
256,3705507985,255,1788,2020-04-01 19:46,2020-04-01 23:46,66.00,2,20
257,2672110914,256,1789,2021-10-22 04:08,2021-10-22 06:08,54.00,1,9
258,8892395830,257,1790,2020-08-22 07:55,2020-08-22 22:55,15.00,3,10
259,7362389248,258,1477,2020-03-15 08:55,2020-03-16 04:55,48.00,1,5
260,7973290790,259,1791,2021-11-14 15:41,2021-11-14 19:41,6.00,3,21
261,4074203156,260,1792,2020-06-20 19:06,2020-06-21 19:06,63.00,2,5
262,8185247302,261,1793,2021-06-30 08:12,2021-07-01 01:12,19.00,2,5
263,3563204015,262,1794,2020-06-13 16:23,2020-06-13 19:23,58.00,1,4
264,9127403762,263,1795,2020-06-07 12:46,2020-06-08 01:46,46.00,2,4
265,9078153090,264,1796,2020-07-14 10:59,2020-07-14 16:59,66.00,2,2
266,9076399920,265,1797,2020-11-23 18:00,2020-11-24 07:00,12.00,2,2
267,8102045492,266,1798,2021-03-10 16:21,2021-03-10 21:21,90.00,1,13
268,4204228839,267,1799,2020-09-06 07:30,2020-09-07 05:30,36.00,1,20
269,2919197122,268,1800,2020-10-02 13:32,2020-10-02 21:32,27.00,2,20
270,3130699412,269,1801,2020-09-08 09:36,2020-09-08 22:36,56.00,1,18
271,5848436517,270,1411,2020-05-27 20:24,2020-05-28 19:24,44.00,2,22
272,8740102649,271,1802,2020-09-12 11:23,2020-09-12 12:23,25.00,2,22
273,4641362107,272,1803,2020-07-05 09:34,2020-07-05 22:34,29.00,3,4
274,2977191900,273,1804,2020-10-25 17:09,2020-10-26 06:09,81.00,1,4
275,4901528111,274,1805,2020-12-05 09:35,2020-12-05 16:35,15.00,1,8
276,4772432342,275,1806,2021-08-25 10:42,2021-08-26 05:42,63.00,3,7
277,2177050682,276,1807,2021-09-15 02:57,2021-09-15 06:57,66.00,3,7
278,4288091550,277,1808,2021-11-12 06:44,2021-11-12 14:44,62.00,3,18
279,2388904239,278,1809,2020-09-18 04:40,2020-09-19 01:40,69.00,3,15
280,4328308383,279,1810,2022-05-13 08:59,2022-05-13 18:59,79.00,3,10
281,3619750619,280,1265,2020-12-27 19:32,2020-12-28 01:32,65.00,1,10
282,2416812521,281,1811,2020-11-12 08:50,2020-11-12 18:50,56.00,3,5
283,6022969419,282,1812,2021-09-21 04:47,2021-09-22 04:47,44.00,1,5
284,5428349268,283,1813,2021-01-09 15:21,2021-01-10 02:21,21.00,1,18
285,1885198865,284,1814,2021-07-04 23:58,2021-07-05 03:58,56.00,1,4
286,6860656471,285,1815,2021-06-24 19:22,2021-06-25 09:22,16.00,3,4
287,3327719235,286,1816,2020-03-16 03:42,2020-03-16 12:42,5.00,2,2
288,7982457413,287,1817,2021-03-22 18:03,2021-03-23 09:03,37.00,2,2
289,6103536530,288,1818,2021-06-29 00:02,2021-06-29 20:02,31.00,3,4
290,6441590311,289,1819,2022-02-25 10:47,2022-02-25 16:47,79.00,2,4
291,9580802419,290,1820,2021-02-20 08:53,2021-02-21 04:53,20.00,2,12
292,7190629451,291,1821,2021-04-16 17:18,2021-04-17 02:18,56.00,1,19
293,7126314124,292,1822,2021-02-20 11:12,2021-02-20 15:12,69.00,2,19
294,7196350566,293,1823,2022-05-17 07:54,2022-05-17 23:54,9.00,3,12
295,8955344628,294,1824,2021-06-07 02:11,2021-06-07 13:11,49.00,3,12
296,5793175098,295,1825,2020-02-20 06:00,2020-02-21 05:00,98.00,1,17
297,9245752036,296,1826,2022-01-31 08:57,2022-02-01 00:57,3.00,3,9
298,8881195621,297,1827,2021-09-30 09:07,2021-10-01 08:07,87.00,1,9
299,7616030548,298,1828,2020-03-25 14:16,2020-03-26 14:16,85.00,1,15
300,9823881584,299,1829,2020-01-20 04:59,2020-01-20 08:59,86.00,2,7
301,9700089516,300,1830,2020-10-10 17:38,2020-10-11 03:38,16.00,1,17
302,6187741172,301,1831,2022-01-27 23:32,2022-01-28 07:32,58.00,1,17
303,9714000546,302,1315,2020-01-10 04:46,2020-01-10 16:46,98.00,1,20
304,2673630963,303,1832,2022-03-22 00:26,2022-03-22 11:26,60.00,2,14
305,2858170225,304,1833,2020-01-14 13:10,2020-01-15 02:10,6.00,3,14
306,5774954723,305,1834,2021-10-29 07:49,2021-10-30 01:49,32.00,1,9
307,6027023743,306,1835,2021-07-10 22:25,2021-07-11 00:25,56.00,1,2
308,1887961507,307,1836,2022-05-02 21:15,2022-05-03 07:15,41.00,1,1
309,3755179643,308,1837,2021-12-13 07:23,2021-12-14 02:23,93.00,2,1
310,2815109156,309,1838,2021-02-11 00:37,2021-02-11 22:37,45.00,1,20
311,3718901832,310,1839,2020-07-18 16:14,2020-07-19 11:14,18.00,3,20
312,2901244995,311,1840,2021-02-10 21:11,2021-02-11 05:11,25.00,1,10
313,6879336678,312,1841,2022-04-19 02:10,2022-04-19 20:10,19.00,1,10
314,6375613062,313,1842,2022-04-22 14:15,2022-04-22 19:15,3.00,2,8
315,6420039671,314,1843,2020-04-18 19:40,2020-04-19 09:40,17.00,1,20
316,7706397672,315,1844,2020-02-27 13:41,2020-02-28 13:41,81.00,2,10
317,5574192952,316,1845,2022-01-10 22:43,2022-01-11 17:43,94.00,3,10
318,1536794718,317,1846,2020-03-05 10:16,2020-03-06 02:16,86.00,2,16
319,2533678256,318,1847,2020-09-03 04:39,2020-09-03 14:39,84.00,2,13
320,7088326858,319,1848,2022-04-13 21:26,2022-04-14 05:26,53.00,3,21
321,6560757222,320,1849,2021-05-18 06:37,2021-05-18 23:37,97.00,3,21
322,5726437234,321,1850,2021-11-06 17:37,2021-11-07 16:37,17.00,1,10
323,3018163115,322,1851,2021-08-17 01:00,2021-08-17 19:00,95.00,3,12
324,4907903584,323,1852,2020-01-19 22:44,2020-01-20 02:44,93.00,1,12
325,1631487040,324,1853,2020-06-10 14:45,2020-06-11 12:45,85.00,2,4
326,2544228872,325,1854,2020-03-14 06:53,2020-03-15 00:53,74.00,2,4
327,7694948541,326,1855,2020-11-22 01:22,2020-11-22 23:22,74.00,3,21
328,4800360924,327,1856,2020-04-10 06:28,2020-04-11 04:28,12.00,2,10
329,3253099561,328,1857,2022-02-22 17:46,2022-02-23 03:46,43.00,3,1
330,3177359288,329,1858,2021-02-14 06:59,2021-02-14 23:59,4.00,3,8
